Mars, Jupiter, Saturn
Pablo Picasso, Vincent van Gogh, Leonardo da Vinci
India, China, Nepal
1939, 1945, 1950
Ag, Au, Fe
Melbourne, Sydney, Canberra
Charlotte Bronte, Jane Austen, Virginia Woolf
Zambezi River, Nile River, Congo River
Moose, Beaver, Polar bear
Isaac Newton, Marie Curie, Albert Einstein
Ten, Five, Six
Liver, Skin, Heart
French, Portuguese, Spanish
Raphael, Leonardo da Vinci, Michelangelo
1789, 1776, 1804
H, O, C
George R.R. Martin, J.K. Rowling, Stephen King
Venus, Mars, Jupiter
Atlantic Ocean, Pacific Ocean, Indian Ocean
Buzz Aldrin, Neil Armstrong, Yuri Gagarin
Sunflower, Cherry blossom, Rose
Rome, Paris, London
Gobi Desert, Sahara Desert, Atacama Desert
Zeus, Poseidon, Hades
Montreal, Toronto, Ottawa
Chris Martin, Bono, Mick Jagger
China, United States, India
Salvador Dalí, Vincent van Gogh, Pablo Picasso
Oscar Wilde, William Shakespeare, Tennessee Williams
Ni, Na, Ne
